,loss
446,0.13625091
447,0.17656803
448,0.14833684
449,0.15664957
450,0.207232
451,0.22255887
452,0.19077542
453,0.19536936
454,0.20242395
455,0.12326649
456,0.1519828
457,0.16250739
458,0.17524037
459,0.18644615
460,0.15079588
461,0.10494922
462,0.119516835
463,0.12411562
464,0.11530699
465,0.12215138
466,0.14029476
467,0.15921654
468,0.14760548
469,0.1469817
470,0.15086271
471,0.18919955
472,0.13834068
473,0.13895638
474,0.14042486
475,0.14069787
476,0.15883169
477,0.17900075
478,0.13825443
479,0.15869476
480,0.1797641
481,0.19085376
482,0.16417773
483,0.15034899
484,0.16028288
485,0.12675971
486,0.16363537
487,0.15833777
488,0.15890984
489,0.168733
490,0.09908504
491,0.09295382
492,0.116012245
493,0.11358818
494,0.10659797
495,0.12665115
496,0.13909964
497,0.1385751
498,0.14595869
499,0.12669145
500,0.118412
501,0.15891667
502,0.113476574
503,0.119572274
504,0.124272466
505,0.13461183
506,0.13705558
507,0.18358615
508,0.13104245
509,0.13671246
510,0.17786597
511,0.16686618
512,0.13979723
513,0.132932
514,0.12926938
515,0.10258973
516,0.12486883
517,0.13075383
518,0.13322791
519,0.14496924
520,0.13315758
521,0.08707015
522,0.13251595
523,0.12927802
524,0.09249419
525,0.10930367
526,0.1313895
527,0.13336569
528,0.10072771
529,0.100541905
530,0.12965964
531,0.14601263
532,0.105371684
533,0.09975865
534,0.10589242
535,0.13572177
536,0.13500182
537,0.16614857
538,0.11920251
539,0.11747084
540,0.15108992
541,0.13308112
542,0.13089128
543,0.13274512
544,0.14410026
545,0.10562132
546,0.13757077
547,0.13659851
548,0.14344886
549,0.13190795
550,0.10534405
551,0.08039911
552,0.09095237
553,0.102491766
554,0.08648651
555,0.093359895
556,0.10554688
557,0.11067195
558,0.10561383
559,0.10507825
560,0.12264743
561,0.1389362
562,0.10145213
563,0.08123031
564,0.12208031
565,0.08942479
566,0.094610766
567,0.13725719
568,0.087538555
569,0.09909854
570,0.14069387
571,0.12280432
572,0.12108893
573,0.11966352
574,0.113014
575,0.0682822
576,0.09198817
577,0.10098284
578,0.099625215
579,0.10652284
580,0.07320351
581,0.0739347
582,0.064757794
583,0.072022974
584,0.08049767
585,0.07683146
586,0.09935135
587,0.08478309
588,0.08333268
589,0.0895492
590,0.109628245
591,0.111238495
592,0.084204346
593,0.07321674
594,0.08602704
595,0.085150376
596,0.087277345
597,0.09646334
598,0.08459601
599,0.087019846
